city,date,confirmed,deaths
Ibirataia,2021-05-17,2115,35
Ibitiara,2021-05-17,597,7
Ibititá,2021-05-17,1365,21
Ibotirama,2021-05-17,918,25
Ichu,2021-05-17,363,3
Igaporã,2021-05-17,436,22
Igrapiúna,2021-05-17,694,14
Iguaí,2021-05-17,944,28
Ilhéus,2021-05-17,18510,447
Importados/Indefinidos,2021-05-17,11026,193
Inhambupe,2021-05-17,1572,27
Ipecaetá,2021-05-17,275,10
Ipiaú,2021-05-17,3024,70
Ipirá,2021-05-17,1936,34
Ipupiara,2021-05-17,199,3
Irajuba,2021-05-17,285,1
Iramaia,2021-05-17,186,8
Iraquara,2021-05-17,1476,13
Irará,2021-05-17,1223,18
Irecê,2021-05-17,8184,112
Itabela,2021-05-17,1453,55
Itaberaba,2021-05-17,5916,109
Itabuna,2021-05-17,29942,566
Itacaré,2021-05-17,1138,23
Itaeté,2021-05-17,279,5
Itagi,2021-05-17,739,17
Itagibá,2021-05-17,1060,18
Itagimirim,2021-05-17,590,12
Itaguaçu da Bahia,2021-05-17,525,4
Itaju do Colônia,2021-05-17,363,6
Itajuípe,2021-05-17,2270,50
Itamaraju,2021-05-17,6016,107
Itamari,2021-05-17,432,7
Itambé,2021-05-17,1608,18
Itanagra,2021-05-17,210,4
Itanhém,2021-05-17,1203,26
Itaparica,2021-05-17,863,22
Itapé,2021-05-17,699,24
Itapebi,2021-05-17,440,18
Itapetinga,2021-05-17,4871,110
Itapicuru,2021-05-17,1235,17
Itapitanga,2021-05-17,878,16
Itaquara,2021-05-17,545,5
Itarantim,2021-05-17,667,17
Itatim,2021-05-17,604,21
Itiruçu,2021-05-17,832,12
Itiúba,2021-05-17,1380,29
Itororó,2021-05-17,3043,30
Ituaçu,2021-05-17,1221,18
Ituberá,2021-05-17,1452,44
Iuiu,2021-05-17,422,4
Jaborandi,2021-05-17,547,7
Jacaraci,2021-05-17,426,8
Jacobina,2021-05-17,5726,69
Jaguaquara,2021-05-17,5624,50
Jaguarari,2021-05-17,1828,38
Jaguaripe,2021-05-17,852,14
Jandaíra,2021-05-17,563,11
Jequié,2021-05-17,15147,310
Jeremoabo,2021-05-17,1602,37
Jiquiriçá,2021-05-17,647,15
Jitaúna,2021-05-17,771,21
João Dourado,2021-05-17,1427,36
Juazeiro,2021-05-17,14492,297
Jucuruçu,2021-05-17,840,9
Jussara,2021-05-17,534,7
Jussari,2021-05-17,589,8
Jussiape,2021-05-17,273,7
Lafaiete Coutinho,2021-05-17,382,5
Lagoa Real,2021-05-17,489,7
Laje,2021-05-17,1216,18
Lajedão,2021-05-17,369,5
Lajedinho,2021-05-17,269,1
Lajedo do Tabocal,2021-05-17,536,9
Lamarão,2021-05-17,202,4
Lapão,2021-05-17,1886,27
Lauro de Freitas,2021-05-17,18817,409
Lençóis,2021-05-17,859,14
Licínio de Almeida,2021-05-17,223,8
Livramento de Nossa Senhora,2021-05-17,2272,48
Luís Eduardo Magalhães,2021-05-17,6970,81
Macajuba,2021-05-17,367,4
Macarani,2021-05-17,861,22
Macaúbas,2021-05-17,1928,16
Macururé,2021-05-17,188,5
Madre de Deus,2021-05-17,2259,33
Maetinga,2021-05-17,204,5
Maiquinique,2021-05-17,724,9
Mairi,2021-05-17,1026,11
Malhada,2021-05-17,345,18
Malhada de Pedras,2021-05-17,243,9
Manoel Vitorino,2021-05-17,950,22
Mansidão,2021-05-17,154,3
Maracás,2021-05-17,2708,53
Maragogipe,2021-05-17,1765,36
Maraú,2021-05-17,1371,14
Marcionílio Souza,2021-05-17,387,7
Mascote,2021-05-17,741,18
Mata de São João,2021-05-17,3629,51
Matina,2021-05-17,255,3
Medeiros Neto,2021-05-17,2163,44
Miguel Calmon,2021-05-17,1979,18
Milagres,2021-05-17,364,3
Mirangaba,2021-05-17,464,8
Mirante,2021-05-17,372,6
Monte Santo,2021-05-17,945,30
Morpará,2021-05-17,186,7
Morro do Chapéu,2021-05-17,2032,20
Mortugaba,2021-05-17,449,8
Mucugê,2021-05-17,437,7
Mucuri,2021-05-17,2784,49
Mulungu do Morro,2021-05-17,569,11
Mundo Novo,2021-05-17,614,7
Muniz Ferreira,2021-05-17,806,3
Muquém do São Francisco,2021-05-17,495,7
Muritiba,2021-05-17,1904,20
Mutuípe,2021-05-17,1580,19
Nazaré,2021-05-17,1993,34
Nilo Peçanha,2021-05-17,549,14
Nordestina,2021-05-17,574,23
Nova Canaã,2021-05-17,526,17
Nova Fátima,2021-05-17,445,5
Nova Ibiá,2021-05-17,556,18
Nova Itarana,2021-05-17,713,7
Nova Redenção,2021-05-17,175,3
Nova Soure,2021-05-17,599,21
Nova Viçosa,2021-05-17,1986,38
Novo Horizonte,2021-05-17,224,4
Novo Triunfo,2021-05-17,405,2
Olindina,2021-05-17,1096,11
Oliveira dos Brejinhos,2021-05-17,592,9
Ouriçangas,2021-05-17,366,5
Ourolândia,2021-05-17,1503,13
Palmas de Monte Alto,2021-05-17,525,12
Palmeiras,2021-05-17,207,6
Paramirim,2021-05-17,464,17
Paratinga,2021-05-17,985,14
Paripiranga,2021-05-17,786,19
Pau Brasil,2021-05-17,778,20
